--------------------------------------------------------------------------------------------------------------
Script started on Tue, Feb 06, 2018  3:08:55 PM
-------------------------------------------------------------------------------------------------------------- $> cygcheck -c && pip3 list format=columns
Cygwin Package Information
Package                                             Version                          Status
libdb5.3                                            5.3.28-2                         OK
libdbus-glib_1_2                                    0.108-1                          OK
libdbus1-devel                                      1.10.22-1                        OK
libdbus1_3                                          1.10.22-1                        OK
libdbusmenu-qt2                                     0.9.3-0.2.20150604bzr            OK
libdbusmenu-qt5_2                                   0.9.3-0.2.20150604bzr            OK
libdevhelp3_2                                       3.8.2-3                          OK
libdialog13                                         1.3-2.20160828                   OK
libdialog14                                         1.3-3.20170131                   OK
libdiscid-devel                                     0.6.1-1                          OK
libdiscid0                                          0.6.1-1                          OK
libdmtx0                                            0.7.4-1                          OK
libdotconf0                                         1.3-1                            OK
libe2p2                                             1.42.12-2                        OK
libebml4                                            1.3.5-1                          OK
libecpg-devel                                       9.6.6-1                          OK
libedit-devel                                       20130712-1                       OK
libedit0                                            20130712-1                       OK
libEGL-devel                                        17.3.3-1                         OK
libEGL1                                             17.3.3-1                         OK
libEMF-devel                                        1.0.8-1                          OK
libEMF1                                             1.0.8-1                          OK
libenchant1                                         1.6.1-1                          OK
libepoxy-devel                                      1.4.3-1                          OK
libepoxy0                                           1.4.3-1                          OK
libespeak1                                          1.47.11-1                        OK
libevent2.0_5                                       2.0.22-1                         OK
libevtlog-devel                                     0.2.12-2                         OK
libevtlog0                                          0.2.12-2                         OK
libexpat-devel                                      2.2.3-1                          OK
libexpat1                                           2.2.3-1                          OK
libext2fs2                                          1.42.12-2                        OK
libf2c-devel                                        20110801-1                       OK
libfakesu                                           1.2.0-0                          OK
libfam0                                             0.1.10-15                        OK
libfcgi-devel                                       2.4.0-3                          OK
libfcgi0                                            2.4.0-3                          OK
libffi-devel                                        3.2.1-2                          OK
libffi6                                             3.2.1-2                          OK
libfftw3_3                                          3.3.6-pl1-1                      OK
libFLAC++6                                          1.3.2-1                          OK
libFLAC8                                            1.3.2-1                          OK
libflite1                                           1.4-1                            OK
libfltk-doc                                         1.3.2.9965-1                     OK
libfltk1.3                                          1.3.4-1                          OK
libfluidsynth1                                      1.1.6-1                          OK
libfontconfig-common                                2.12.4-1                         OK
libfontconfig-devel                                 2.12.4-1                         OK
libfontconfig1                                      2.12.4-1                         OK
libfontenc1                                         1.1.3-1                          OK
libforms-devel                                      1.2.4-1                          OK
libforms2                                           1.2.4-1                          OK
libfpx-devel                                        1.3.1.4-1                        OK
libfpx1                                             1.3.1.4-1                        OK
libfreetype-devel                                   2.6.5-1                          OK
libfreetype6                                        2.6.5-1                          OK
libftdi1                                            1.3-1                            OK
libgailutil18                                       2.24.31-1                        OK
libgailutil3_0                                      3.22.20-1                        OK
libgamin1_0                                         0.1.10-15                        OK
libgc1                                              7.6.0-2                          OK
libgc2                                              7.6.2-2                          OK
libgcab-devel                                       0.7-1                            OK
libgcab1.0_0                                        0.7-1                            OK
libgcc1                                             6.4.0-5                          OK
libgccpp1                                           7.6.2-2                          OK
libgck1_0                                           3.20.0-1                         OK
libgconf2_4                                         3.2.6-2                          OK
libgcr-base3_1                                      3.20.0-1                         OK
libgcr-ui3-common                                   3.20.0-1                         OK
libgcr-ui3_1                                        3.20.0-1                         OK
libgcrypt-devel                                     1.7.8-1                          OK
libgcrypt20                                         1.7.8-1                          OK
libgd-devel                                         2.2.5-1                          OK
libgd3                                              2.2.5-1                          OK
libgda-ui5.0_4                                      5.2.4-1                          OK
libgda5.0_4                                         5.2.4-1                          OK
libgdal-devel                                       2.2.2-3                          OK
libgdal20                                           2.2.2-3                          OK
libgdbm-devel                                       1.12-1                           OK
libgdbm4                                            1.12-1                           OK
libgdict1.0-common                                  3.24.0-1                         OK
libgdict1.0_10                                      3.24.0-1                         OK
libgdk_pixbuf2.0-devel                              2.36.9-1                         OK
libgdk_pixbuf2.0_0                                  2.36.9-1                         OK
libgdl3-common                                      3.22.0-1                         OK
libgdl3_5                                           3.22.0-1                         OK
libgee0.8_2                                         0.20.0-1                         OK
libgeoclue0                                         0.12.99-2                        OK
libgeocode-glib-common                              3.24.0-1                         OK
libgeocode-glib0                                    3.24.0-1                         OK
libGeoIP1                                           1.6.9-1                          OK
libgeos-devel                                       3.5.1-1                          OK
libgeos_3_5                                         3.5.0-1                          OK
libgeos_3_5_1                                       3.5.1-1                          OK
libgeos_c1                                          3.5.1-1                          OK
libgeotiff2                                         1.4.2-2                          OK
libgettextpo0                                       0.19.8.1-2                       OK
libgfortran3                                        6.4.0-5                          OK
libggi2                                             2.2.2-4                          OK
libggi2-devel                                       2.2.2-4                          OK
libggimisc2                                         2.2.2-4                          OK
libggimisc2-devel                                   2.2.2-4                          OK
libggiwmh0                                          0.3.2-4                          OK
libggiwmh0-devel                                    0.3.2-4                          OK
libgif-devel                                        4.1.6-12                         OK
libgif4                                             4.1.6-12                         OK
libgii1                                             1.0.2-4                          OK
libgii1-devel                                       1.0.2-4                          OK
libgirepository1.0-devel                            1.52.1-2                         OK
libgirepository1.0_1                                1.52.1-2                         OK
libgit2-glib1.0_0                                   0.25.0-1                         OK
libgit2_23                                          0.23.4-2                         OK
libgit2_24                                          0.24.6-1                         OK
libgit2_25                                          0.25.1-1                         OK
libGL-devel                                         17.3.3-1                         OK
libGL1                                              17.3.3-1                         OK
libglade2.0_0                                       2.6.4-2                          OK
libglapi0                                           17.3.3-1                         OK
libgle-devel                                        3.1.0-10                         OK
libgle3                                             3.1.0-10                         OK
libGLEW1.13                                         1.13.0-1                         OK
libGLEW2.1                                          2.1.0-1                          OK
libglib1.2_0                                        1.2.10-12                        OK
libglib2.0-devel                                    2.52.3-1                         OK
libglib2.0_0                                        2.52.3-1                         OK
libGLU-devel                                        9.0.0-1                          OK
libGLU1                                             9.0.0-1                          OK
libglut-devel                                       2.8.1-1                          OK
libglut3                                            2.8.1-1                          OK
libgmime2.6_0                                       2.6.23-3                         OK
libgmp10                                            6.1.2-1                          OK
libgnat6                                            6.4.0-5                          OK
libgnome-keyring-devel                              3.12.0-2                         OK
libgnome-keyring0                                   3.12.0-2                         OK
libgnome2_0                                         2.32.1-3                         OK
libgnomecanvas2_0                                   2.30.3-2                         OK
libgnomeui2_0                                       2.24.5-2                         OK
libgnomevfs2_0                                      2.24.4-6                         OK
libgnutls-dane0                                     3.5.13-1                         OK
libgnutls28                                         3.3.27-1                         OK
libgnutls30                                         3.5.13-1                         OK
libgomp1                                            6.4.0-5                          OK
libgoocanvas3                                       1.0.0-1                          OK
libgpg-error-devel                                  1.27-1                           OK
libgpg-error0                                       1.27-1                           OK
libgpgme11                                          1.9.0-1                          OK
libgpgmepp6                                         1.9.0-1                          OK
libgrantlee5                                        5.1.0-1                          OK
libgraphite2-devel                                  1.3.10-1                         OK
libgraphite2_3                                      1.3.10-1                         OK
libgs-devel                                         9.22-2                           OK
libgs9                                              9.22-2                           OK
libgsf-common                                       1.14.41-1                        OK
libgsf1_114                                         1.14.41-1                        OK
libgsl0                                             1.16-2                           OK
libgsl19                                            2.3-2                            OK
libgsm1                                             1.0.13-3                         OK
libgssapi_krb5_2                                    1.15.2-1                         OK
libgssrpc4                                          1.15.2-1                         OK
libgstbad1.0_0                                      1.12.4-2                         OK
libgstinterfaces1.0_0                               1.12.4-1                         OK
libgstreamer1.0_0                                   1.12.4-1                         OK
libgtk2.0-devel                                     2.24.31-1                        OK
libgtk2.0_0                                         2.24.31-1                        OK
libgtk3-devel                                       3.22.20-1                        OK
libgtk3_0                                           3.22.20-1                        OK
libgtkglext1.0_0                                    1.2.0-11                         OK
libgtksourceview2.0_0                               2.10.5-2                         OK
libgtksourceview3.0-common                          3.24.3-1                         OK
libgtksourceview3.0-devel                           3.24.3-1                         OK
libgtksourceview3.0_1                               3.24.3-1                         OK
libgtkspell0                                        2.0.16-1                         OK
libgtkspell3-common                                 3.0.9-1                          OK
libgtkspell3_3_0                                    3.0.9-1                          OK
libgtop2.0_10                                       2.34.2-1                         OK
libgts0.7_5                                         20121130-1                       OK
libgucharmap2.90_7                                  10.0.0-1                         OK
libguile17                                          1.8.8-3                          OK
libguile2.0_22                                      2.0.14-1                         OK
libgvc6                                             2.40.1-3                         OK
libgweather-common                                  3.24.1-1                         OK
libgweather3_6                                      3.24.1-1                         OK
libharfbuzz-devel                                   1.7.4-1                          OK
libharfbuzz-gobject0                                1.7.4-1                          OK
libharfbuzz-icu0                                    1.7.4-1                          OK
libharfbuzz0                                        1.7.4-1                          OK
libhdf5-devel                                       1.8.20-1                         OK
libhdf5_10                                          1.8.20-1                         OK
libhdf5cpp_11                                       1.8.16-1                         OK
libhdf5cpp_13                                       1.8.18-1                         OK
libhdf5cpp_14                                       1.8.19-1                         OK
libhdf5cpp_15                                       1.8.20-1                         OK
libhdf5hl_10                                        1.8.20-1                         OK
libhdf5hlcpp_11                                     1.8.20-1                         OK
libhogweed2                                         2.7.1-1                          OK
libhogweed4                                         3.3-1                            OK
libhunspell1.3_0                                    1.3.3-1                          OK
libhunspell1.4_0                                    1.4.1-1                          OK
libhunspell1.6_0                                    1.6.1-1                          OK
libhwloc5                                           1.11.8-1                         OK
libical1                                            1.0.1-1                          OK
libICE-devel                                        1.0.9-1                          OK
libICE6                                             1.0.9-1                          OK
libiconv                                            1.14-3                           OK
libiconv-devel                                      1.14-3                           OK
libiconv2                                           1.14-3                           OK
libicu-devel                                        60.2-1                           OK
libicu56                                            56.1-1                           OK
libicu57                                            57.1-1                           OK
libicu58                                            58.2-1                           OK
libicu59                                            59.1-1                           OK
libicu60                                            60.2-1                           OK
libid3tag0                                          0.15.1b-10                       OK
libIDL2-devel                                       0.8.14-2                         OK
libIDL2_0                                           0.8.14-2                         OK
libidn-devel                                        1.33-1                           OK
libidn11                                            1.33-1                           OK
libidn2_0                                           2.0.4-1                          OK
libilmbase12                                        2.2.0-1                          OK
libIlmImf22                                         2.2.0-1                          OK
libimagequant0                                      2.10.0-1                         OK
libImlib2_1                                         1.4.9-1                          OK
libinchi0                                           2.3.2-6                          OK
libintl-devel                                       0.19.8.1-2                       OK
libintl8                                            0.19.8.1-2                       OK
libiodbc-devel                                      3.52.8-2                         OK
libiodbc2                                           3.52.8-2                         OK
libisl13                                            0.14.1-1                         OK
libisl15                                            0.16.1-1                         OK
libjasper1                                          1.900.22-1                       OK
libjasper4                                          2.0.14-1                         OK
libjavascriptcoregtk1.0-devel                       2.0.4-5                          OK
libjavascriptcoregtk1.0_0                           2.0.4-5                          OK
libjavascriptcoregtk3.0_0                           2.0.4-5                          OK
libjbig-devel                                       2.0-14                           OK
libjbig2                                            2.0-14                           OK
libjpeg-devel                                       1.5.3-1                          OK
libjpeg8                                            1.5.3-1                          OK
libjson-c-common                                    0.12-1                           OK
libjson-c2                                          0.12-1                           OK
libjson-glib1.0_0                                   1.2.6-1                          OK
libk5crypto3                                        1.15.2-1                         OK
libkadm5clnt_mit10                                  1.14.4-1                         OK
libkadm5clnt_mit11                                  1.15.2-1                         OK
libkadm5srv_mit10                                   1.14.4-1                         OK
libkadm5srv_mit11                                   1.15.2-1                         OK
libkasten3_3                                        17.08.3-1                        OK
libkate                                             0.4.1-2                          OK
libkate-devel                                       0.4.1-2                          OK
libkate1                                            0.4.1-2                          OK
libkdb5_8                                           1.15.2-1                         OK
libkdecore-common                                   4.14.38-2                        OK
libkdecore5                                         4.14.38-2                        OK
libkdevplatform10                                   5.0.3-1                          OK
libKF5Activities5                                   5.39.0-1                         OK
libKF5Archive5                                      5.39.0-1                         OK
libKF5Attica5                                       5.39.0-1                         OK
libKF5Auth5                                         5.39.0-1                         OK
libKF5Bookmarks5                                    5.39.0-1                         OK
libKF5Codecs5                                       5.39.0-1                         OK
libKF5Completion5                                   5.39.0-1                         OK
libKF5Config5                                       5.39.0-1                         OK
libKF5ConfigWidgets5                                5.39.0-1                         OK
libKF5CoreAddons5                                   5.39.0-1                         OK
libKF5Crash5                                        5.39.0-1                         OK
libKF5DBusAddons5                                   5.39.0-1                         OK
libKF5Declarative5                                  5.39.0-1                         OK
libKF5GlobalAccel5                                  5.39.0-1                         OK
libKF5Gpgmepp5                                      16.08.3-2                        OK
libKF5GuiAddons5                                    5.39.0-1                         OK
libKF5I18n5                                         5.39.0-1                         OK
libKF5IconThemes5                                   5.39.0-1                         OK
libKF5ItemModels5                                   5.39.0-1                         OK
libKF5ItemViews5                                    5.39.0-1                         OK
libKF5JobWidgets5                                   5.39.0-1                         OK
libKF5KCMUtils5                                     5.39.0-1                         OK
libKF5KIO5                                          5.39.0-1                         OK
libKF5Kross5                                        5.39.0-1                         OK
libKF5NewStuff5                                     5.39.0-1                         OK
libKF5Notifications5                                5.39.0-1                         OK
libKF5NotifyConfig5                                 5.39.0-1                         OK
libKF5Package5                                      5.39.0-1                         OK
libKF5Parts5                                        5.39.0-1                         OK
libKF5Plasma5                                       5.39.0-1                         OK
libKF5Plotting5                                     5.39.0-1                         OK
libKF5Pty5                                          5.39.0-1                         OK
libKF5Service5                                      5.39.0-1                         OK
libKF5Solid5                                        5.39.0-1                         OK
libKF5Sonnet5                                       5.39.0-1                         OK
libKF5Su5                                           5.39.0-1                         OK
libKF5SyntaxHighlighting5                           5.39.0-1                         OK
libKF5TextEditor5                                   5.39.0-1                         OK
libKF5TextWidgets5                                  5.39.0-1                         OK
libKF5ThreadWeaver5                                 5.39.0-1                         OK
libKF5Wallet5                                       5.39.0-1                         OK
libKF5WebKit5                                       5.39.0-1                         OK
libKF5WidgetsAddons5                                5.39.0-1                         OK
libKF5WindowSystem5                                 5.39.0-1                         OK
libKF5XmlGui5                                       5.39.0-1                         OK
libkomparediff2_5                                   17.08.3-1                        OK
libkpathsea6                                        20170520-3                       OK
libkpim-common                                      4.14.10-3                        OK
libkpim4                                            4.14.10-3                        OK
libkrad0                                            1.15.2-1                         OK
libkrb5-devel                                       1.15.2-1                         OK
libkrb5_3                                           1.15.2-1                         OK
libkrb5support0                                     1.15.2-1                         OK
libksba8                                            1.3.5-1                          OK
liblapack0                                          3.7.1-1                          OK
libLASi1                                            1.1.1-2                          OK
liblcms-devel                                       1.19-5                           OK
liblcms1                                            1.19-5                           OK
liblcms2-devel                                      2.9-1                            OK
liblcms2_2                                          2.9-1                            OK
liblink-grammar-common                              5.3.16-2                         OK
liblink-grammar5                                    5.3.16-2                         OK
libllvm3.5                                          3.5.2-2                          OK
libllvm4.0                                          4.0.1-1                          OK
libllvm5.0                                          5.0.1-1                          OK
libltdl7                                            2.4.6-5                          OK
liblucene++0                                        3.0.7-5                          OK
liblz4_1                                            1.7.5-1                          OK
liblzma-devel                                       5.2.3-1                          OK
liblzma5                                            5.2.3-1                          OK
liblzo2-devel                                       2.10-1                           OK
liblzo2_2                                           2.10-1                           OK
libMagick-devel                                     6.9.9.11-3                       OK
libMagickC++6_6                                     6.9.5.7-2                        OK
libMagickC++6_8                                     6.9.9.11-3                       OK
libMagickCore6_2                                    6.9.5.7-2                        OK
libMagickCore6_5                                    6.9.9.11-3                       OK
libMagickWand6_2                                    6.9.5.7-2                        OK
libMagickWand6_5                                    6.9.9.11-3                       OK
libmailutils-devel                                  3.3-1                            OK
libmailutils-sieve-extensions                       3.3-1                            OK
libmailutils5                                       3.3-1                            OK
libmangle                                           1.0-svn2930-1                    OK
libmarisa0                                          0.2.4-3                          OK
libmate-menu2                                       1.18.0-1                         OK
libmatroska6                                        1.4.8-1                          OK
libmcpp0                                            2.7.2-2                          OK
libmcrypt-devel                                     2.5.8-1                          OK
libmcrypt4                                          2.5.8-1                          OK
libmdb1                                             0.6pre1-4                        OK
libmetalink3                                        0.1.2-1                          OK
libmikmod3                                          3.3.11-1                         OK
libming-devel                                       0.4.8-1                          OK
libming1                                            0.4.8-1                          OK
libmng-devel                                        2.0.3-1                          OK
libmng2                                             2.0.3-1                          OK
libmodplug1                                         0.8.9.0-1                        OK
libmpc3                                             1.0.3-1                          OK
libmpfr4                                            3.1.6-1p1                        OK
libmpg123_0                                         1.25.6-1                         OK
libmsi-devel                                        0.97-1                           OK
libmsi0                                             0.97-1                           OK
libmspack0                                          0.5-0.1.alpha                    OK
libmysqlclient18                                    10.1.26-1                        OK
libncurses++w10                                     6.0-12.20171125                  OK
libncurses-devel                                    6.0-12.20171125                  OK
libncursesw-devel                                   6.0-12.20171125                  OK
libncursesw10                                       6.0-12.20171125                  OK
libneko2                                            2.2.0-1                          OK
libneon-devel                                       0.30.1-1                         OK
libneon27                                           0.30.1-1                         OK
libnetcdf11                                         4.4.1.1-1                        OK
libnetpbm10                                         10.80.00-1                       OK
libnettle4                                          2.7.1-1                          OK
libnettle6                                          3.3-1                            OK
libnfc-devel                                        1.7.1-1                          OK
libnfc5                                             1.7.1-1                          OK
libnghttp2_14                                       1.23.1-1                         OK
libnotify4                                          0.7.7-1                          OK
libnpth0                                            1.5-1                            OK
libnspr4                                            4.14-1                           OK
libnss3                                             3.30.2-1                         OK
libobjc4                                            6.4.0-5                          OK
libogg-devel                                        1.3.1-1                          OK
libogg0                                             1.3.1-1                          OK
libokteta2_2                                        17.08.3-1                        OK
libopenal-devel                                     1.15.1-1                         OK
libopenal1                                          1.15.1-1                         OK
libopenbabel4                                       2.3.2-6                          OK
libopenblas                                         0.2.20-1                         OK
libopencdk-devel                                    0.6.6-12                         OK
libopencdk10                                        0.6.6-12                         OK
libOpenCL1                                          2.2.12-1                         OK
libopencv3.2                                        3.2.0-2                          OK
libopenjp2_7                                        2.2.0-1                          OK
libopenjpeg1                                        1.5.2-3                          OK
libopenldap2_4_2                                    2.4.42-1                         OK
libopenmpi12                                        1.10.7-1                         OK
libopenmpicxx1                                      1.10.7-1                         OK
libopenssl100                                       1.0.2n-1                         OK
libopts-devel                                       5.18.12-1                        OK
libopts25                                           5.18.12-1                        OK
libORBit2-devel                                     2.14.19-2                        OK
libORBit2_0                                         2.14.19-2                        OK
liborc0.4-devel                                     0.4.28-1                         OK
liborc0.4_0                                         0.4.28-1                         OK
libosp5                                             1.5.2-2                          OK
libostyle1                                          1.4devel1-3                      OK
libp11-kit0                                         0.23.5-1                         OK
libpakchois-devel                                   0.4-1                            OK
libpakchois0                                        0.4-1                            OK
libpango1.0-devel                                   1.40.12-1                        OK
libpango1.0_0                                       1.40.12-1                        OK
libpangox1.0_0                                      0.0.2-1                          OK
libpaper-common                                     1.1.24-2                         OK
libpaper1                                           1.1.24-2                         OK
libpathplan4                                        2.40.1-3                         OK
libpcre-devel                                       8.40-3                           OK
libpcre1                                            8.40-3                           OK
libpcre16_0                                         8.40-3                           OK
libpcre2_16_0                                       10.23-2                          OK
libpcre2_8_0                                        10.23-2                          OK
libpcre32_0                                         8.40-3                           OK
libpcrecpp0                                         8.40-3                           OK
libpcreposix0                                       8.40-3                           OK
libpeas-common                                      1.20.0-1                         OK
libpeas1.0_0                                        1.20.0-1                         OK
libphonon4                                          4.9.1-1                          OK
libphonon4qt5_4                                     4.9.1-1                          OK
libpipeline-devel                                   1.4.0-1                          OK
libpipeline1                                        1.4.0-1                          OK
libpixman1-devel                                    0.34.0-1                         OK
libpixman1_0                                        0.34.0-1                         OK
libplot2                                            2.6-5                            OK
libplotter-devel                                    2.6-5                            OK
libplotter2                                         2.6-5                            OK
libpng-devel                                        1.6.34-1                         OK
libpng16                                            1.6.34-1                         OK
libpng16-devel                                      1.6.34-1                         OK
libpocl-common                                      1.0-1                            OK
libpocl1                                            0.14-1                           OK
libpocl2                                            1.0-1                            OK
libpoco-devel                                       1.8.1-1                          OK
libpoco31                                           1.6.1-2                          OK
libpoco43                                           1.7.3-2                          OK
libpoco45                                           1.7.5-1                          OK
libpoco47                                           1.7.7-1                          OK
libpoco48                                           1.7.8p3-1                        OK
libpoco49                                           1.7.9p2-1                        OK
libpoco50                                           1.8.0.1-1                        OK
libpoco51                                           1.8.1-1                          OK
libpoppler-cpp0                                     0.57.0-1                         OK
libpoppler-glib8                                    0.57.0-1                         OK
libpoppler62                                        0.45.0-2                         OK
libpoppler66                                        0.52.0-2                         OK
libpoppler68                                        0.57.0-1                         OK
libpopt-common                                      1.16-2                           OK
libpopt0                                            1.16-2                           OK
libportaudio2                                       19.20140130-3                    OK
libportmidi0                                        217-4                            OK
libpotrace-devel                                    1.14-1                           OK
libpotrace0                                         1.14-1                           OK
libpq-devel                                         9.6.6-1                          OK
libpq5                                              9.6.6-1                          OK
libprison0                                          1.1.0-1                          OK
libprocps-ng5                                       3.3.11-1                         OK
libprocps-ng6                                       3.3.12-2                         OK
libproj12                                           4.9.3-2                          OK
libproj9                                            4.9.2-1                          OK
libproxy-devel                                      0.4.14-2                         OK
libproxy1                                           0.4.14-2                         OK
libpsl5                                             0.18.0-1                         OK
libpst4                                             0.6.71-1                         OK
libpstoedit0                                        3.70-2                           OK
libptexenc1                                         20170520-3                       OK
libpugixml1                                         1.8-1                            OK
libpulse-simple0                                    11.1-1                           OK
libpulse0                                           11.1-1                           OK
libqca-qt5_2                                        2.1.3-1                          OK
libqca2                                             2.1.3-1                          OK
libqhull_7                                          2015.2-1                         OK
libqjson0                                           0.8.1-1                          OK
libqrencode3                                        3.4.4-1                          OK
libqt3                                              3.3.8b-20                        OK
libQt3Support4                                      4.8.7-4                          OK
libQt53D-devel                                      5.9.3-1                          OK
libQt53D5                                           5.9.3-1                          OK
libQt5Charts5                                       5.9.3-1                          OK
libQt5Core-devel                                    5.9.3-2                          OK
libQt5Core5                                         5.9.3-2                          OK
libQt5DataVisualization5                            5.9.3-1                          OK
libQt5Designer5                                     5.9.3-1                          OK
libQt5Gui-devel                                     5.9.3-2                          OK
libQt5Gui5                                          5.9.3-2                          OK
libQt5Help-devel                                    5.9.3-1                          OK
libQt5Help5                                         5.9.3-1                          OK
libQt5Location5                                     5.9.3-2                          OK
libQt5Multimedia5                                   5.9.3-1                          OK
libQt5Positioning5                                  5.9.3-2                          OK
libQt5Quick-devel                                   5.9.3-1                          OK
libQt5Quick5                                        5.9.3-1                          OK
libQt5RemoteObjects-devel                           5.9.3-1                          OK
libQt5RemoteObjects5                                5.9.3-1                          OK
libQt5Script5                                       5.9.3-1                          OK
libQt5Scxml-devel                                   5.9.3-1                          OK
libQt5Scxml5                                        5.9.3-1                          OK
libQt5SerialPort5                                   5.9.3-1                          OK
libQt5Sql-devel                                     5.9.3-2                          OK
libQt5Sql5                                          5.9.3-2                          OK
libQt5Svg5                                          5.9.3-1                          OK
libQt5TextToSpeech5                                 5.9.3-1                          OK
