--------------------------------------------------------------------------------------------------------------
Script started on Tue, Feb 06, 2018  3:08:55 PM
--------------------------------------------------------------------------------------------------------------$> cygcheck -c && pip3 list format=columns
Cygwin Package Information
Package                                             Version                          Status
docbook-xml45                                       4.5-1                            OK
docbook-xsl                                         1.77.1-1                         OK
dos2unix                                            7.4.0-1                          OK
doxygen                                             1.8.14-2                         OK
doxygen-doxywizard                                  1.8.14-2                         OK
dri-drivers                                         17.3.3-1                         OK
duff                                                0.5.2-1                          OK
e2fsimage                                           0.2.2-1                          OK
e2fsprogs                                           1.42.12-2                        OK
ed                                                  1.14.1-1                         OK
editrights                                          1.03-1                           OK
eigen2                                              2.0.17-2                         OK
eigen3                                              3.3.4-1                          OK
ELFIO                                               3.1-1                            OK
emacs-gettext                                       0.19.8.1-2                       OK
eventlog                                            0.2.12-2                         OK
expect                                              5.45-3                           OK
extra-cmake-modules                                 5.39.0-2                         OK
f2c                                                 20100827-1                       OK
fdupes                                              1.50-PR2-3                       OK
figlet                                              2.2.2-2                          OK
file                                                5.30-1                           OK
file-devel                                          5.30-1                           OK
findutils                                           4.6.0-1                          OK
fish                                                2.7.0-1                          OK
fixesproto                                          5.0-1                            OK
flac-devel                                          1.3.2-1                          OK
flex                                                2.6.4-2                          OK
flexdll                                             0.35-2                           OK
flip                                                1.19-1                           OK
fluid                                               1.3.4-1                          OK
font-bh-lucidatypewriter-dpi75                      7.5-3                            OK
font-ibm-type1                                      7.5-3                            OK
fontsproto                                          2.1.3-1                          OK
fort77                                              1.18-1                           OK
fossil                                              20170721+2.3-1                   OK
gambas3                                             3.10.0-1                         OK
gambas3-devel                                       3.10.0-1                         OK
gambas3-gb-args                                     3.10.0-1                         OK
gambas3-gb-cairo                                    3.10.0-1                         OK
gambas3-gb-chart                                    3.10.0-1                         OK
gambas3-gb-clipper                                  3.10.0-1                         OK
gambas3-gb-complex                                  3.10.0-1                         OK
gambas3-gb-compress                                 3.10.0-1                         OK
gambas3-gb-compress-bzlib2                          3.10.0-1                         OK
gambas3-gb-compress-zlib                            3.10.0-1                         OK
gambas3-gb-crypt                                    3.10.0-1                         OK
gambas3-gb-data                                     3.10.0-1                         OK
gambas3-gb-db                                       3.10.0-1                         OK
gambas3-gb-db-form                                  3.10.0-1                         OK
gambas3-gb-db-mysql                                 3.10.0-1                         OK
gambas3-gb-db-odbc                                  3.10.0-1                         OK
gambas3-gb-db-postgresql                            3.10.0-1                         OK
gambas3-gb-db-sqlite3                               3.10.0-1                         OK
gambas3-gb-dbus                                     3.10.0-1                         OK
gambas3-gb-dbus-trayicon                            3.10.0-1                         OK
gambas3-gb-desktop                                  3.10.0-1                         OK
gambas3-gb-desktop-gnome-keyring                    3.10.0-1                         OK
gambas3-gb-desktop-x11                              3.10.0-1                         OK
gambas3-gb-eval-highlight                           3.10.0-1                         OK
gambas3-gb-form                                     3.10.0-1                         OK
gambas3-gb-form-dialog                              3.10.0-1                         OK
gambas3-gb-form-editor                              3.10.0-1                         OK
gambas3-gb-form-mdi                                 3.10.0-1                         OK
gambas3-gb-form-stock                               3.10.0-1                         OK
gambas3-gb-form-terminal                            3.10.0-1                         OK
gambas3-gb-gmp                                      3.10.0-1                         OK
gambas3-gb-gsl                                      3.10.0-1                         OK
gambas3-gb-gtk                                      3.10.0-1                         OK
gambas3-gb-gtk-opengl                               3.10.0-1                         OK
gambas3-gb-gtk3                                     3.10.0-1                         OK
gambas3-gb-httpd                                    3.10.0-1                         OK
gambas3-gb-image                                    3.10.0-1                         OK
gambas3-gb-image-effect                             3.10.0-1                         OK
gambas3-gb-image-imlib                              3.10.0-1                         OK
gambas3-gb-image-io                                 3.10.0-1                         OK
gambas3-gb-jit                                      3.10.0-1                         OK
gambas3-gb-libxml                                   3.10.0-1                         OK
gambas3-gb-logging                                  3.10.0-1                         OK
gambas3-gb-map                                      3.10.0-1                         OK
gambas3-gb-markdown                                 3.10.0-1                         OK
gambas3-gb-media                                    3.10.0-1                         OK
gambas3-gb-media-form                               3.10.0-1                         OK
gambas3-gb-memcached                                3.10.0-1                         OK
gambas3-gb-mime                                     3.10.0-1                         OK
gambas3-gb-mysql                                    3.10.0-1                         OK
